uri,label_timestamp,toxicity_prob,toxicity_tier
at://did:plc:tnztj5sqpqcz5qbtunztrvkx/app.bsky.feed.post/3mnptgdn3es2d,2026_06_07-18:55:28,0.57271194,medium
at://did:plc:eta4lkvxkjo74xr6phkta4qp/app.bsky.feed.post/3mnptg7aq622n,2026_06_07-18:55:28,0.8778702,high
at://did:plc:w7i5rz23cjnucshnqfo6lhfn/app.bsky.feed.post/3mnptg4rtnc2s,2026_06_07-18:55:28,0.055274166,low
at://did:plc:3jizh3hpaomnfhdxrvzprztf/app.bsky.feed.post/3mnptfysqek2w,2026_06_07-18:55:28,0.39669925,medium
at://did:plc:35r7o7rvmxvufkqwlrppcxwl/app.bsky.feed.post/3mnptfxygl22b,2026_06_07-18:55:28,0.50789946,medium
at://did:plc:5tbluewz4kkntundmcbx5e6m/app.bsky.feed.post/3mnptfnl3lc23,2026_06_07-18:55:28,0.15711457,medium
at://did:plc:k5gw4742e3idz5ycrv3dnwd6/app.bsky.feed.post/3mnptfkm4cs23,2026_06_07-18:55:28,0.036870047,low
at://did:plc:ar4m3xiu43lhhimqi7vnor5z/app.bsky.feed.post/3mnptfjl2vk2x,2026_06_07-18:55:28,0.01859777,low
at://did:plc:y3jb3blh7mirrn2wskzwdymk/app.bsky.feed.post/3mnptfgbvo222,2026_06_07-18:55:28,0.50503236,medium
at://did:plc:452yodlm3morvtpbsrsum23m/app.bsky.feed.post/3mnptfbmjfc2j,2026_06_07-18:55:28,0.7252971,high
at://did:plc:dfpywa25tz3fkcrm2yb2aq4h/app.bsky.feed.post/3mnptf63k5s2q,2026_06_07-18:55:28,0.40614098,medium
at://did:plc:e7zlxspgo2djftkvsfq26e6x/app.bsky.feed.post/3mnptf5arpk2a,2026_06_07-18:55:28,0.08004235,low
at://did:plc:t3duu4o5dj72rbcmrrjp67hr/app.bsky.feed.post/3mnptf4hh672q,2026_06_07-18:55:28,0.056263726,low
at://did:plc:qrc6pbi6oca3zna5opgq7skh/app.bsky.feed.post/3mnpteyemnc2h,2026_06_07-18:55:28,0.44039994,medium
at://did:plc:3qv57fe6mq5cyvm4yge7draf/app.bsky.feed.post/3mnptetccck2c,2026_06_07-18:55:28,0.03309893,low
at://did:plc:tg6sr4udfwh4h6oqmtpew4jt/app.bsky.feed.post/3mnptejqi6c2k,2026_06_07-18:55:28,0.7252971,high
at://did:plc:wrqrpjtklqskyd5z6f2cqy5u/app.bsky.feed.post/3mnptejnfk227,2026_06_07-18:55:28,0.15158679,medium
