uri,toxicity_prob,toxicity_tier
at://did:plc:kydhfsfa2w5hghnz4fluoxqz/app.bsky.feed.post/3mmz7teuurk2u,0.020960633,low
at://did:plc:xsvngm3ihhp3apxgutfj3l65/app.bsky.feed.post/3mmz7kzklhs2a,0.049089402,low
at://did:plc:cnsi7gr3xabjvyzwbze64goc/app.bsky.feed.post/3mmz6hraosc2f,0.37751234,medium
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz6fzie622y,0.13214645,medium
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz66p5p522d,0.063027434,low
at://did:plc:dmqffqnazvesjtj3yco2hbvo/app.bsky.feed.post/3mmz64jih722d,0.06025757,low
at://did:plc:ef4omfctzvx5j6pzhdx2cmrs/app.bsky.feed.post/3mmz644sxmc2p,0.026263772,low
at://did:plc:ctfspmwvunphh6sxpbushamg/app.bsky.feed.post/3mmz63grckk2n,0.11212669,medium
at://did:plc:futsc4l2ctqjnk4jtm3mbkz3/app.bsky.feed.post/3mmz5veeg722f,0.11398677,medium
at://did:plc:yfj2lagcs4k4c4ahvsbop4sy/app.bsky.feed.post/3mmz5uash5s2c,0.022139108,low
