uri,toxicity_prob,toxicity_tier
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz5jngim22c,0.15766735,medium
at://did:plc:4x2n25hyaykkxz37qchwmhqc/app.bsky.feed.post/3mmz5hguiwy2g,0.05651112,low
at://did:plc:q7ks2fhhxoydrcjdxyqvloyo/app.bsky.feed.post/3mmz5dn2ghk2w,0.35186127,medium
at://did:plc:7zt22bu4xfjuym5zjwfwgzp6/app.bsky.feed.post/3mmz4ojdrns2b,0.6827122,medium
at://did:plc:3nysgyurk3lihminqor65t4o/app.bsky.feed.post/3mmz4dmzmvk2n,0.38434127,medium
at://did:plc:bgt62gzl3y5ke7b45xi5vkvu/app.bsky.feed.post/3mmz42sx4cv2k,0.045873325,low
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz3xxalxs2h,0.147767,medium
at://did:plc:tq5hbjjqxkw6h5ph7t55jfgw/app.bsky.feed.post/3mmz3t4wjln2z,0.021785567,low
at://did:plc:6aw4p4tkwc5qf4mvzlwz7p5j/app.bsky.feed.post/3mmz3pr5r2s2g,0.85173553,high
at://did:plc:3gn4uiw4cyocrhsokfe4maue/app.bsky.feed.post/3mmz3l2x7ik2t,0.6611249,medium
