uri,is_political
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz3c7yapc2a,True
at://did:plc:h2go4atbpgzfv6e3ua5carux/app.bsky.feed.post/3mmz36cad3c2y,False
at://did:plc:4x2n25hyaykkxz37qchwmhqc/app.bsky.feed.post/3mmz2aeto6r24,True
at://did:plc:cukyh664zwfwfsi2qo7otdkl/app.bsky.feed.post/3mmz27msygy2j,True
at://did:plc:lwrk7fcbscw66bwoqazsbud3/app.bsky.feed.post/3mmyzybceis2i,True
at://did:plc:vdvqgvmivyud2qhpiyq6izdh/app.bsky.feed.post/3mmyzsiev4s2l,True
at://did:plc:pmgkr2vi3ci2a7hlt32762hs/app.bsky.feed.post/3mmyza7kpmc2n,True
at://did:plc:r4jv6ovwzxhfx7xfwelz7dwa/app.bsky.feed.post/3mmyyn5ubms23,True
at://did:plc:jljrsmoxxtz37q66g2chzv6z/app.bsky.feed.post/3mmyyekgasc2g,True
at://did:plc:hsd6gnddmn62f5d2r3jzqsry/app.bsky.feed.post/3mmyxt4eqek2j,True
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxdn2di22d,True
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxbidh7s2d,True
at://did:plc:5edutbcjbvtmshgnlm3dqnsn/app.bsky.feed.post/3mmyx5fybok24,True
at://did:plc:3xepiia4o2vi72cspauocraa/app.bsky.feed.post/3mmyx2hfjac2t,True
at://did:plc:7adattnzwycnqd4li53vqg4x/app.bsky.feed.post/3mmywmxadzs2d,True
at://did:plc:2uivt62xkkz55tyiulxzb3ch/app.bsky.feed.post/3mmywm6jqa22l,True
at://did:plc:fgx2meacgtgvjoudmc2uzlqm/app.bsky.feed.post/3mmywi42zgk2q,True
at://did:plc:cusaw5uta6s5lnonfv77fqph/app.bsky.feed.post/3mmywascekc25,True
at://did:plc:65lajs2naecrkmwgazzgz62u/app.bsky.feed.post/3mmyw4cyz422g,True
at://did:plc:4fd463xn7xbvgswz7wolvjt4/app.bsky.feed.post/3mmyvsra3w22w,True
at://did:plc:lgaygody2ykq5iwninfxyzre/app.bsky.feed.post/3mmyvn5bgl22s,True
at://did:plc:wrqrpjtklqskyd5z6f2cqy5u/app.bsky.feed.post/3mmyvg7teo22d,True
at://did:plc:ha75md7pravn2bz6tzfggbqt/app.bsky.feed.post/3mmyukalfcs2v,True
at://did:plc:5uju5s27ns2gdbizm7ypozfc/app.bsky.feed.post/3mmyu2t6j6c2t,True
at://did:plc:4xqt7t2zph634drigtdxdmro/app.bsky.feed.post/3mmyttglzcs2r,True
at://did:plc:2mow7kzge7glgb2jljb2ypfn/app.bsky.feed.post/3mmytk433xc2c,True
at://did:plc:rxlrgdzlxnwg7fdixe4rcmuc/app.bsky.feed.post/3mmytefznvc2l,True
at://did:plc:rwdnojpotckuwmo3tzxb4lbh/app.bsky.feed.post/3mmytdnjj4k2v,True
at://did:plc:cjxgy42vdiklh35qxyeojmaj/app.bsky.feed.post/3mmyrvgpho52x,True
at://did:plc:lq4cbzfizpp7txlmh25gbefw/app.bsky.feed.post/3mmyrnzdae22u,True
at://did:plc:fxc25wsnpboh3sheoooftwco/app.bsky.feed.post/3mmyrie6ztk2k,True
at://did:plc:6aw4p4tkwc5qf4mvzlwz7p5j/app.bsky.feed.post/3mmyr6ca5hc2c,True
at://did:plc:gnwfqzjapwrey5mj53c6isth/app.bsky.feed.post/3mmyquisedc2p,True
at://did:plc:dfpywa25tz3fkcrm2yb2aq4h/app.bsky.feed.post/3mmyoxv7sh22y,True
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmyoijxzak23,True
at://did:plc:hlwnuzbnl6pqsyrlxzut65iz/app.bsky.feed.post/3mmyntws3f22v,True
at://did:plc:vg6xcxg4hafkdr5jbb6cizx5/app.bsky.feed.post/3mmyn4krok22n,True
at://did:plc:ll52la5ic5u5n2oivmwol4b5/app.bsky.feed.post/3mmyml7ketc2y,True
at://did:plc:b4z45k7trqcss6bjpih2azie/app.bsky.feed.post/3mmymf26yzs23,True
at://did:plc:ftxb44r3bzx4afmr2odn3t6k/app.bsky.feed.post/3mmym7jgl6c22,True
at://did:plc:d2vt42xj542m2cxu5upgvzgk/app.bsky.feed.post/3mmym6bujis2x,True
at://did:plc:b4ds3ci5jworfo6r5rvcvszm/app.bsky.feed.post/3mmylkj3plk2h,True
at://did:plc:cv5lew66vhcxhvzvwky7v6gp/app.bsky.feed.post/3mmyljdoxos2p,True
at://did:plc:csqioavhmhk3sv63hnp6qeqg/app.bsky.feed.post/3mmylgyvrns2d,True
at://did:plc:xxinpiwria5b3pmwzyjamd42/app.bsky.feed.post/3mmyklg62vk2w,True
at://did:plc:kmdd6wiblotah6trcbeaukjh/app.bsky.feed.post/3mmyjhsw3422g,True
at://did:plc:7uqsdwqtah4rzhqktv4gq2bt/app.bsky.feed.post/3mmz7sszcqc2i,False
at://did:plc:qlekkifqfvr7wyisf22h55tz/app.bsky.feed.post/3mmz65w2rsq2w,True
at://did:plc:6unyw3meoudvzayenwsqq2id/app.bsky.feed.post/3mmz54vwajc2v,False
at://did:plc:zoynfijwbhjx4fjdul5v4a46/app.bsky.feed.post/3mmz4ukng3k25,True
at://did:plc:raablndljezj7zgfu4asaq4e/app.bsky.feed.post/3mmz3svb2wc2r,True
at://did:plc:ndx5fdygwnreep5f4k7a5ixg/app.bsky.feed.post/3mmz3onxynk2m,True
at://did:plc:sjkjr6xfa5cwb5pjvqvjelpy/app.bsky.feed.post/3mmz2ft3skk27,False
at://did:plc:nlwlryolbglj4so5vu53xghx/app.bsky.feed.post/3mmyzecwzr42q,True
at://did:plc:2nzlmhgp2y57hthyuzzkfmpz/app.bsky.feed.post/3mmyzbecasc2t,False
at://did:plc:b54v6eyytayw4olor2qbgpmz/app.bsky.feed.post/3mmyyjzwjis22,True
at://did:plc:7t2nlnnsowc7y6xft4ijo4sg/app.bsky.feed.post/3mmyx6qauz225,True
at://did:plc:teejnhudp247teadhpfobfng/app.bsky.feed.post/3mmywugrqys2l,True
