uri,label_timestamp,toxicity_prob,toxicity_tier
2061460911638892900,2026_06_01-18:12:59,0.0466155,low
2061459034658558253,2026_06_01-18:12:59,0.045625936,low
2061455864335044801,2026_06_01-18:12:59,0.2854699,medium
2061455606419243366,2026_06_01-18:12:59,0.6744087,medium
2061452328100884616,2026_06_01-18:12:59,0.25462922,medium
2061450540324733421,2026_06_01-18:12:59,0.022610499,low
2061444821420580931,2026_06_01-18:12:59,0.048842013,low
2061442766274494588,2026_06_01-18:12:59,0.030741978,low
2061424122526097707,2026_06_01-18:12:59,0.35186127,medium
2061421663393104101,2026_06_01-18:12:59,0.03357032,low
2061406238340964554,2026_06_01-18:12:59,0.04067813,low
2061400962523091310,2026_06_01-18:12:59,0.05230548,low
2061372320157950359,2026_06_01-18:12:59,0.034041706,low
2061338743940788333,2026_06_01-18:12:59,0.27525392,medium
2061289678997991699,2026_06_01-18:12:59,0.04785245,low
2061274097321980307,2026_06_01-18:12:59,0.09958932,low
2061183641649025073,2026_06_01-18:12:59,0.09741997,low
2061175752758882339,2026_06_01-18:12:59,0.9029226,high
2061456985292234931,2026_06_01-18:12:59,0.015519086,low
2061453748644327639,2026_06_01-18:12:59,0.021314176,low
2061448762585755967,2026_06_01-18:12:59,0.010618322,low
2061448641110245409,2026_06_01-18:12:59,0.01834645,low
2061448422838665589,2026_06_01-18:12:59,0.014576632,low
2061445632330465715,2026_06_01-18:12:59,0.03781283,low
2061425926819455105,2026_06_01-18:12:59,0.09958932,low
2061410361517989921,2026_06_01-18:12:59,0.23812068,medium
2061405907410378867,2026_06_01-18:12:59,0.043646812,low
2061296761482748040,2026_06_01-18:12:59,0.053295042,low
2061246717735973029,2026_06_01-18:12:59,0.04290464,low
2061242759118295180,2026_06_01-18:12:59,0.03357032,low
2061204047542067655,2026_06_01-18:12:59,0.08083374,low
2061202225368883343,2026_06_01-18:12:59,0.944597,high
2061164418688499959,2026_06_01-18:12:59,0.025203144,low
2061150291769368742,2026_06_01-18:12:59,0.025792383,low
2061133406998573091,2026_06_01-18:12:59,0.022610499,low
2061130697163538862,2026_06_01-18:12:59,0.07371122,low
2061089968609788033,2026_06_01-18:12:59,0.054037213,low
2061478133878894732,2026_06_01-18:12:59,0.054531995,low
2061477880157110324,2026_06_01-18:12:59,0.10609736,medium
2061475764160381218,2026_06_01-18:12:59,0.017969469,low
2061473190770028702,2026_06_01-18:12:59,0.25084448,medium
2061467853249818789,2026_06_01-18:12:59,0.1693855,medium
2061465215993008446,2026_06_01-18:12:59,0.01847211,low
2061463002042232917,2026_06_01-18:12:59,0.016210219,low
2061453938390712430,2026_06_01-18:12:59,0.049336795,low
2061437621268877549,2026_06_01-18:12:59,0.008293601,low
2061428661069168689,2026_06_01-18:12:59,0.019351736,low
2061427131968520243,2026_06_01-18:12:59,0.01017851,low
2061424654628294661,2026_06_01-18:12:59,0.12867521,medium
2061422387732664378,2026_06_01-18:12:59,0.029327808,low
2061399758032298400,2026_06_01-18:12:59,0.08004235,low
2061387513051087212,2026_06_01-18:12:59,0.010115679,low
2061384779895841130,2026_06_01-18:12:59,0.08083374,low
2061368423087563034,2026_06_01-18:12:59,0.3250515,medium
2061356131000156340,2026_06_01-18:12:59,0.33338684,medium
2061286698554683725,2026_06_01-18:12:59,0.05304765,low
2061478153411772702,2026_06_01-18:12:59,0.029799197,low
2061477973220335819,2026_06_01-18:12:59,0.020231359,low
2061477887715213396,2026_06_01-18:12:59,0.027088705,low
2061477761949278610,2026_06_01-18:12:59,0.02968135,low
2061475361414586817,2026_06_01-18:12:59,0.050078966,low
2061474481009205267,2026_06_01-18:12:59,0.056758508,low
2061472652334694864,2026_06_01-18:12:59,0.02035702,low
2061467101651423696,2026_06_01-18:12:59,0.039226998,low
2061466999964766219,2026_06_01-18:13:06,0.11652588,medium
2061464874677325928,2026_06_01-18:13:06,0.050573748,low
2061464140909076534,2026_06_01-18:13:06,0.039935954,low
2061458463960490319,2026_06_01-18:13:06,0.027560094,low
2061455225039282559,2026_06_01-18:13:06,0.05824285,low
2061453757536153997,2026_06_01-18:13:06,0.03545588,low
2061451233261400197,2026_06_01-18:13:06,0.028502874,low
2061448200972644806,2026_06_01-18:13:06,0.03357032,low
2061445942956666934,2026_06_01-18:13:06,0.1269396,medium
2061463836738396252,2026_06_01-18:13:06,0.1641865,medium
2061444214609863051,2026_06_01-18:13:06,0.1373533,medium
2061443107665654224,2026_06_01-18:13:06,0.010618322,low
2061443058432868551,2026_06_01-18:13:06,0.029917045,low
2061428833807393105,2026_06_01-18:13:06,0.028620722,low
2061370880190558417,2026_06_01-18:13:06,0.054284602,low
2061357188208079193,2026_06_01-18:13:06,0.012314741,low
2061249804252877284,2026_06_01-18:13:06,0.08716487,low
2061161836192371199,2026_06_01-18:13:06,0.1798404,medium
2061118765849248126,2026_06_01-18:13:06,0.07371122,low
2060898307988218089,2026_06_01-18:13:06,0.015016444,low
2060881628612686157,2026_06_01-18:13:06,0.15490346,medium
2060869495850418599,2026_06_01-18:13:06,0.13561769,medium
2060809231679295848,2026_06_01-18:13:06,0.04686289,low
2060785560722276643,2026_06_01-18:13:06,0.17111848,medium
2060768232143798708,2026_06_01-18:13:06,0.013131535,low
2061478062739366114,2026_06_01-18:13:06,0.013948329,low
2061478021345726748,2026_06_01-18:13:06,0.027324399,low
2061478018795573750,2026_06_01-18:13:06,0.017466826,low
2061476463933628650,2026_06_01-18:13:06,0.15766735,medium
2061473929743794589,2026_06_01-18:13:06,0.055768944,low
2061471217224216626,2026_06_01-18:13:06,0.2854903,medium
2061470937342689436,2026_06_01-18:13:06,0.021667719,low
2061470788616609961,2026_06_01-18:13:06,0.11181668,medium
2061470402266763757,2026_06_01-18:13:06,0.02402467,low
2061470164164432060,2026_06_01-18:13:06,0.39644176,medium
2061467851064840253,2026_06_01-18:13:06,0.112540044,medium
2061467830239834347,2026_06_01-18:13:06,0.050821137,low
2061467554527563921,2026_06_01-18:13:06,0.054284602,low
2061467280215535880,2026_06_01-18:13:06,0.11129999,medium
2061463192929182085,2026_06_01-18:13:06,0.11161,medium
2061468948592460204,2026_06_01-18:13:06,0.14950264,medium
2061468360747995593,2026_06_01-18:13:06,0.1373533,medium
2061457015210467436,2026_06_01-18:13:06,0.718943,high
2061456513894617131,2026_06_01-18:13:06,0.0665887,low
2061449070611181639,2026_06_01-18:13:06,0.15656179,medium
2061437384747610508,2026_06_01-18:13:06,0.02543884,low
2061420557707431946,2026_06_01-18:13:06,0.3389984,medium
2061406526166733214,2026_06_01-18:13:06,0.017089844,low
2061304963557630374,2026_06_01-18:13:06,0.06579731,low
2061291454161461337,2026_06_01-18:13:06,0.12867521,medium
2061284896661016580,2026_06_01-18:13:06,0.071337044,low
2061276570698785081,2026_06_01-18:13:06,0.046368107,low
2061261451130515694,2026_06_01-18:13:06,0.02308189,low
2061231589690859988,2026_06_01-18:13:06,0.11367676,medium
2061207630811402269,2026_06_01-18:13:06,0.034277402,low
2061207095534379309,2026_06_01-18:13:06,0.022139108,low
2061207060864278907,2026_06_01-18:13:06,0.021667719,low
2061196779509469462,2026_06_01-18:13:06,0.121732734,medium
2061192735260852372,2026_06_01-18:13:06,0.687436,medium
2061171692693602517,2026_06_01-18:13:06,0.05304765,low
2061152172792832269,2026_06_01-18:13:06,0.07845957,low
2061149609276141859,2026_06_01-18:13:06,0.0143253105,low
2061188597785502107,2026_06_01-18:13:06,0.015016444,low
2060876187648307254,2026_06_01-18:13:06,0.10913446,medium
2060303888515772709,2026_06_01-18:13:13,0.022374803,low
2060149487629140411,2026_06_01-18:13:13,0.023317585,low
2059751803953057809,2026_06_01-18:13:13,0.21642438,medium
2059690357613310374,2026_06_01-18:13:13,0.11181668,medium
2059549865017802935,2026_06_01-18:13:13,0.026970858,low
2059432273267609815,2026_06_01-18:13:13,0.10783285,medium
2059008677340701174,2026_06_01-18:13:13,0.016587202,low
2058997656177824229,2026_06_01-18:13:13,0.1104733,medium
2061468503295525197,2026_06_01-18:13:13,0.044388983,low
2061467264163938657,2026_06_01-18:13:13,0.200795,medium
2061466375009235328,2026_06_01-18:13:13,0.071337044,low
2061465391675625600,2026_06_01-18:13:13,0.25462922,medium
2061464663301259644,2026_06_01-18:13:13,0.018723432,low
2061459696108908982,2026_06_01-18:13:13,0.019728716,low
2061459579066876338,2026_06_01-18:13:13,0.20265625,medium
2061459493545005378,2026_06_01-18:13:13,0.013320025,low
2061459385910808842,2026_06_01-18:13:13,0.010806813,low
2061459363932541063,2026_06_01-18:13:13,0.010681152,low
2061458377167741133,2026_06_01-18:13:13,0.15048122,medium
2061455186250334674,2026_06_01-18:13:13,0.006345861,low
2061454450439356776,2026_06_01-18:13:13,0.16245349,medium
2061452328100655211,2026_06_01-18:13:13,0.015330595,low
2061448597690835076,2026_06_01-18:13:13,0.1100022,medium
2061432666616926282,2026_06_01-18:13:13,0.06421452,low
2061432119579009390,2026_06_01-18:13:13,0.07054565,low
2061430992783430100,2026_06_01-18:13:13,0.005277746,low
2061406177368387927,2026_06_01-18:13:13,0.019351736,low
2061402631084392621,2026_06_01-18:13:13,0.021785567,low
2061383600335880490,2026_06_01-18:13:13,0.4269174,medium
2061469146819309625,2026_06_01-18:13:13,0.09611836,low
2061467062804070468,2026_06_01-18:13:13,0.17111848,medium
2061432784418476172,2026_06_01-18:13:13,0.09915545,low
2061424160048394370,2026_06_01-18:13:13,0.09568449,low
2061420093544993139,2026_06_01-18:13:13,0.08716487,low
2061211979511959749,2026_06_01-18:13:13,0.1587729,medium
2061169874819506550,2026_06_01-18:13:13,0.10045706,medium
2061141540827738327,2026_06_01-18:13:13,0.09785384,low
2061086012500046134,2026_06_01-18:13:13,0.038048524,low
2061059075207561278,2026_06_01-18:13:13,0.09438288,low
2060968243133571091,2026_06_01-18:13:13,0.09611836,low
2060939818646016012,2026_06_01-18:13:13,0.09525062,low
2060908471118098568,2026_06_01-18:13:13,0.09394901,low
2060907557800010192,2026_06_01-18:13:13,0.09568449,low
2060873015575921017,2026_06_01-18:13:13,0.09655223,low
2060867033525363102,2026_06_01-18:13:13,0.09481675,low
2060841377273942492,2026_06_01-18:13:13,0.09741997,low
2060839601703403773,2026_06_01-18:13:13,0.033334624,low
2060834122600177817,2026_06_01-18:13:13,0.09872158,low
2060821045737894234,2026_06_01-18:13:13,0.40891263,medium
2060812123979043049,2026_06_01-18:13:13,0.059727192,low
2060729329793781922,2026_06_01-18:13:13,0.10089093,medium
2060691845600960817,2026_06_01-18:13:13,0.09958932,low
2060678326771945931,2026_06_01-18:13:13,0.09655223,low
2060608499420176578,2026_06_01-18:13:13,0.1013248,medium
2061477879657959776,2026_06_01-18:13:13,0.058737632,low
2061474035876143302,2026_06_01-18:13:13,0.06065326,low
2061471721769615564,2026_06_01-18:13:13,0.11388343,medium
2061467660429205619,2026_06_01-18:13:13,0.51869136,medium
2061466338078429408,2026_06_01-18:13:13,0.024142517,low
2061462380253413400,2026_06_01-18:13:13,0.14429577,medium
2061460726833610992,2026_06_01-18:13:13,0.038048524,low
2061460599859466372,2026_06_01-18:13:13,0.15158679,medium
2061459346614026627,2026_06_01-18:13:13,0.08320791,low
2061452765805637881,2026_06_01-18:13:13,0.024731753,low
2061448277199818928,2026_06_01-18:13:21,0.10653123,medium
2061447694795608154,2026_06_01-18:13:21,0.10089093,medium
2061446697075478688,2026_06_01-18:13:21,0.3389984,medium
2061439752671490277,2026_06_01-18:13:21,0.20839658,medium
2061430910390558896,2026_06_01-18:13:21,0.38434127,medium
2061422836044943611,2026_06_01-18:13:21,0.11316007,medium
2061403771713016240,2026_06_01-18:13:21,0.38811707,medium
2061345913185214864,2026_06_01-18:13:21,0.16043124,medium
2061331408766013589,2026_06_01-18:13:21,0.15600902,medium
2061321877490937942,2026_06_01-18:13:21,0.15711457,medium
2061320434532888921,2026_06_01-18:13:21,0.3047732,medium
2061468565803323606,2026_06_01-18:13:21,0.022256956,low
2061464085925937628,2026_06_01-18:13:21,0.01237757,low
2061447680166150188,2026_06_01-18:13:21,0.0074139764,low
2061435341689549135,2026_06_01-18:13:21,0.09655223,low
2061431139093348568,2026_06_01-18:13:21,0.016838523,low
2061408613080420646,2026_06_01-18:13:21,0.0926474,low
2061405146085486825,2026_06_01-18:13:21,0.40891263,medium
2061340475873755410,2026_06_01-18:13:21,0.0072569004,low
2061304064684498955,2026_06_01-18:13:21,0.0414203,low
2061289562769613277,2026_06_01-18:13:21,0.25462922,medium
