author_handle,author_did,uri,created_at,text,is_reply,reply_parent_uri,reply_root_uri,langs,embed_type,quoted_post_uri,mentioned_dids,linked_uris
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokh2rnadc2f,2026-06-18T08:49:36.201Z,Repost this if you can👏🏻👏🏻,False,,,en,record,at://did:plc:7xx7djnq3h7aldakc7twnumm/app.bsky.feed.post/3moj2sn27x22m,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokjbfj6ok2f,2026-06-18T09:29:05.850Z,We all know this is what this is all about.,True,at://did:plc:t6ubj2wlhc34awzcymh3qpur/app.bsky.feed.post/3mojqq3sobk2o,at://did:plc:t6ubj2wlhc34awzcymh3qpur/app.bsky.feed.post/3mojqq3sobk2o,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokjfjpxh22f,2026-06-18T09:31:24.484Z,Nice!!,True,at://did:plc:5q56sbtfdpszfi7eqsvluxhh/app.bsky.feed.post/3mojnzzrz3k2f,at://did:plc:5q56sbtfdpszfi7eqsvluxhh/app.bsky.feed.post/3mojnzzrz3k2f,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokjmafdr22f,2026-06-18T09:35:09.581Z,He is pushing hard for Nobull  Piece Prise.,True,at://did:plc:wgfz5e3rv4mxgtcpypddfruu/app.bsky.feed.post/3mojjmxqma22k,at://did:plc:wgfz5e3rv4mxgtcpypddfruu/app.bsky.feed.post/3mojjmxqma22k,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokjqvsfvk2f,2026-06-18T09:37:46.246Z,We need more of this and less of what we’re actually getting!👏🏻,True,at://did:plc:xrkzqy573xvk4iks755z7cfp/app.bsky.feed.post/3mokcbj4dys22,at://did:plc:xrkzqy573xvk4iks755z7cfp/app.bsky.feed.post/3mokcbj4dys22,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokmeo5th22f,2026-06-18T10:24:36.805Z,"Maybe we all should follow your example,it would probably help!!",True,at://did:plc:uu5y7n5bcm2wvxaq3jc6nt4l/app.bsky.feed.post/3mojar4ffnc26,at://did:plc:uu5y7n5bcm2wvxaq3jc6nt4l/app.bsky.feed.post/3mojar4ffnc26,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokwegg7h22f,2026-06-18T13:23:26.109Z,our president!,True,at://did:plc:oz6zlgisnbxyfgh2g5k4vjbd/app.bsky.feed.post/3moksrtqnkk2q,at://did:plc:zyq2demh4lorbatgbrsrl3ki/app.bsky.feed.post/3moipfhw6mc2r,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mokybghl2c2f,2026-06-18T13:57:32.974Z,😂😂😂😂,True,at://did:plc:oz6zlgisnbxyfgh2g5k4vjbd/app.bsky.feed.post/3mokxddizkk2q,at://did:plc:zyq2demh4lorbatgbrsrl3ki/app.bsky.feed.post/3moipfhw6mc2r,en,,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mol2x2hrnk2f,2026-06-18T14:45:26.076Z,,False,,,en,images,,,
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mol3annw422f,2026-06-18T14:50:48.193Z,👏🏻👏🏻👏🏻,True,at://did:plc:yhdpchilpf6als7tuyojpdeq/app.bsky.feed.post/3mol34du4r22r,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.post/3mol2x2hrnk2f,en,,,,
