author_handle,author_did,uri,created_at,subject_uri,subject_cid
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokgyhaj4s2g,2026-06-18T08:48:16.049Z,at://did:plc:7aigvwxggp7bz5tzkgn7qkf5/app.bsky.feed.post/3mokffyq3yk2p,bafyreidk22cs53kjlodo4pjki3bphj7vrsvknyjwolmzyaplnrqiew6gfq
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokgyorxnv2g,2026-06-18T08:48:23.959Z,at://did:plc:52grrl7l5wicetkuhvkjafjd/app.bsky.feed.post/3mok72ayzns2r,bafyreihm2g7c3jdfy6m2dhvu2r4pojyndnagzy5pvb6qqof3vplgnbpsee
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokh225vn22u,2026-06-18T08:49:09.439Z,at://did:plc:7xx7djnq3h7aldakc7twnumm/app.bsky.feed.post/3moj2sn27x22m,bafyreidz37ofsdr4bb6gc4rkeh42bmvknoukh2zpxidfj64yw5xutbhzdm
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokiyij6bn2a,2026-06-18T09:24:04.707Z,at://did:plc:52grrl7l5wicetkuhvkjafjd/app.bsky.feed.post/3mok6mygtts2r,bafyreifsfwnt52eybsybufadwi7xqcbor3p7xnhlr3xmyxdlq3rtqsjg4y
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokizajafg2e,2026-06-18T09:24:29.938Z,at://did:plc:4scq7m6zrpvcpsdb5cvhvf2u/app.bsky.feed.post/3mojttetvf22p,bafyreicpcbk3vicjclwcb5vdkbmz662u573y42iqeqsbvnwt2ggz2llc6e
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokizmdslm2f,2026-06-18T09:24:42.336Z,at://did:plc:x4g4laxkmsrczwvnvbbgsm7g/app.bsky.feed.post/3mojrjqx4xc26,bafyreibw2snif6eomzndwjkz5bctfmittjhvb24atkoeeq6pdbtovqjsaa
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj2r4nsu2g,2026-06-18T09:25:20.898Z,at://did:plc:nvcwxxjti7dvgqovf2rrml2c/app.bsky.feed.post/3mojf4wmyrs25,bafyreiepaufzmf5rt6ebdqcuvuoys4ds552smxehydti3a5a44dhh3uage
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj35pxop2p,2026-06-18T09:25:34.115Z,at://did:plc:fw3wkjxovddcmdutgycc7zyu/app.bsky.feed.post/3mojzhz2izk2c,bafyreigggcugdfimsktw6hxcj6yrawfym6go53nf2o6nuyps6xvsfh7dxe
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj3ja57k24,2026-06-18T09:25:46.179Z,at://did:plc:3ip6nmfnzvu7wusgmma4yxai/app.bsky.feed.post/3mojbm5z3c22v,bafyreieqgiazkq5qtk7zvlundscykq57ajt2jnihwiekjnubb7etqnklz4
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj3pq6hj2i,2026-06-18T09:25:52.996Z,at://did:plc:2qhershy6nk2cs5gm5zbii2r/app.bsky.feed.post/3mojodpdkms2z,bafyreifdhsmjbhivnl6gvr7vq7rcqspnxrvl6vjmhtdonldduplj4qzb54
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj56h6yo2b,2026-06-18T09:26:41.987Z,at://did:plc:3dvkc2cgsaubsrgzwq5p5fks/app.bsky.feed.post/3mojzjhdqgs2q,bafyreigylpmj7xlpwze5x5oucq6acjf2w7vw56auzosux2snko7fzmsx2y
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj6dacas24,2026-06-18T09:27:20.552Z,at://did:plc:crd5hgecwhtkqxfegosvmqnq/app.bsky.feed.post/3moju76opn22q,bafyreidlgbzicu73i5ig4osyvjotdeuy52uk3ebehtzq7gkdb5gz444nai
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokj7el23725,2026-06-18T09:27:55.248Z,at://did:plc:5phucnuc2jb3jcjoyzsn3mwh/app.bsky.feed.post/3mojm7iqbbk2r,bafyreib6vaqw2gehdpb7prjg3a2k3ezhz7z6e5k36ym2njz4yu2ablqvea
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokjabdwqk24,2026-06-18T09:28:25.679Z,at://did:plc:t6ubj2wlhc34awzcymh3qpur/app.bsky.feed.post/3mojqq3sobk2o,bafyreiexxkkvvwytqydx26gbys5sexx4fup3svkjitcc5rfgf5id52yg7a
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokjbxwncb2i,2026-06-18T09:29:22.915Z,at://did:plc:detiqr2yzkzqmhlsohpy5ctr/app.bsky.feed.post/3mokappror22k,bafyreibgf4gvbvps3ku26mutzhwvvwjhxbhdlkjp267hroemwishgj5tqy
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokje3siyi24,2026-06-18T09:30:34.079Z,at://did:plc:fcncmf6dbkren55frhffynlt/app.bsky.feed.post/3mokbtq5h6c22,bafyreieh5vryivchwu2dslp4hbqczbalk43udcqx5yzikkavefhtbzvss4
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokjemkjea2b,2026-06-18T09:30:51.561Z,at://did:plc:5q56sbtfdpszfi7eqsvluxhh/app.bsky.feed.post/3mojnzzrz3k2f,bafyreibtbjj7uvfajo2frzk2bdr7u4g2x7haxk27m3kpqarekfnntthzsu
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokjhy3ssw2g,2026-06-18T09:32:44.401Z,at://did:plc:y52hu7mf3jodfkwjsp56s2bg/app.bsky.feed.post/3mojrk7q5oc2o,bafyreiehynlwfctlhowzk4ljwmem53kzmvtkymada6rif3ss43lk5uc56a
sparkyomatic.bsky.social,did:plc:pn3yjtajmrjl6dvhisvimbol,at://did:plc:pn3yjtajmrjl6dvhisvimbol/app.bsky.feed.like/3mokjjq4vpw2g,2026-06-18T09:33:45.295Z,at://did:plc:b56nqssbqfkd7wgjo7wiy46q/app.bsky.feed.post/3mojtqdvlx22d,bafyreibvzbxbv6ekhrncfpjdkjj45vugpcplr4fxnghdh4ofatrthb575m
